,vmax,rob_gamma,cp
0,0.1,4.0602916419217125,0.5
1,0.16378937069540642,6.086030680786894,0.5
2,0.2682695795279726,12.113259948948095,0.5
3,0.43939705607607904,17.254235523331996,0.5
4,0.7196856730011519,18.84848776036958,0.5
5,1.1787686347935873,19.168923345547345,0.5
6,1.9306977288832496,19.226994582765805,0.5
7,3.1622776601683795,19.237293121073197,0.5
8,5.17947467923121,19.239144369881984,0.5
9,8.483428982440717,19.23946778964622,0.5
10,13.894954943731374,19.239514698137565,0.5
11,22.758459260747887,19.23953268965278,0.5
12,37.27593720314938,19.239534308396724,0.5
13,61.054022965853264,19.23953725733509,0.5
14,100.0,19.239537313423316,0.5
0,0.1,3.14594210210246,0.7300108075456557
1,0.16378937069540642,1.9700919805098893,0.7300108075456557
2,0.2682695795279726,1.1640578978667018,0.7300108075456557
3,0.43939705607607904,1.45893211538017,0.7300108075456557
4,0.7196856730011519,1.5888123545410102,0.7300108075456557
5,1.1787686347935873,1.615823355376586,0.7300108075456557
6,1.9306977288832496,1.6207183605231263,0.7300108075456557
7,3.1622776601683795,1.6215882457552964,0.7300108075456557
8,5.17947467923121,1.6217422906715158,0.7300108075456557
9,8.483428982440717,1.621769552979724,0.7300108075456557
10,13.894954943731374,1.621774377231961,0.7300108075456557
11,22.758459260747887,1.6217752309003695,0.7300108075456557
12,37.27593720314938,1.6217753819593745,0.7300108075456557
13,61.054022965853264,1.621775408684078,0.7300108075456557
14,100.0,1.6217754134223659,0.7300108075456557
0,0.1,5.043730642673311,1.0658315582669209
1,0.16378937069540642,3.1251504290959367,1.0658315582669209
2,0.2682695795279726,1.5701604416667965,1.0658315582669209
3,0.43939705607607904,1.102324208249732,1.0658315582669209
4,0.7196856730011519,1.0109351505353477,1.0658315582669209
5,1.1787686347935873,1.0096630262104607,1.0658315582669209
6,1.9306977288832496,1.0118868836205706,1.0658315582669209
7,3.1622776601683795,1.0122962338347044,1.0658315582669209
8,5.17947467923121,1.01236872422492,1.0658315582669209
9,8.483428982440717,1.012381553306105,1.0658315582669209
10,13.894954943731374,1.0123838191303836,1.0658315582669209
11,22.758459260747887,1.0123842252326924,1.0658315582669209
12,37.27593720314938,1.0123842963083673,1.0658315582669209
13,61.054022965853264,1.0123843088762865,1.0658315582669209
14,100.0,1.0123843111023962,1.0658315582669209
0,0.1,5.123054784372949,1.556137113116159
1,0.16378937069540642,3.1743006532217644,1.556137113116159
2,0.2682695795279726,1.5948548241657194,1.556137113116159
3,0.43939705607607904,1.119660790658075,1.556137113116159
4,0.7196856730011519,1.0249570917381168,1.556137113116159
5,1.1787686347935873,1.0078233144753594,1.556137113116159
6,1.9306977288832496,1.004779417130636,1.556137113116159
7,3.1622776601683795,1.0042404129920075,1.556137113116159
8,5.17947467923121,1.004145022909573,1.556137113116159
9,8.483428982440717,1.0041281430076456,1.556137113116159
10,13.894954943731374,1.0041251560521447,1.556137113116159
11,22.758459260747887,1.00412462750201,1.556137113116159
12,37.27593720314938,1.0041245339736289,1.556137113116159
13,61.054022965853264,1.0041245174222668,1.556137113116159
14,100.0,1.0041245144953457,1.556137113116159
0,0.1,5.1251068489307645,2.2719938211953856
1,0.16378937069540642,3.175572070876338,2.2719938211953856
2,0.2682695795279726,1.5954936132419764,2.2719938211953856
3,0.43939705607607904,1.1201092504234258,2.2719938211953856
4,0.7196856730011519,1.025367593575803,2.2719938211953856
5,1.1787686347935873,1.0082269792676117,2.2719938211953856
6,1.9306977288832496,1.005181861868041,2.2719938211953856
7,3.1622776601683795,1.0046426427199135,2.2719938211953856
8,5.17947467923121,1.0045472144292824,2.2719938211953856
9,8.483428982440717,1.004530327766473,2.2719938211953856
10,13.894954943731374,1.004527339614598,2.2719938211953856
11,22.758459260747887,1.0045268108527556,2.2719938211953856
12,37.27593720314938,1.0045267172869194,2.2719938211953856
13,61.054022965853264,1.0045267007301937,2.2719938211953856
14,100.0,1.004526697800437,2.2719938211953856
