,vmax,rob_gamma,cp
0,0.1,4.57575601728603,0.5
1,0.16378937069540642,3.9618417208348546,0.5
2,0.2682695795279726,3.4918703615224964,0.5
3,0.43939705607607904,3.1321109713631263,0.5
4,0.7196856730011519,2.855241664919434,0.5
5,1.1787686347935873,2.6401102174635187,0.5
6,1.9306977288832496,2.4708846140170824,0.5
7,3.1622776601683795,2.3359594739330345,0.5
8,5.17947467923121,2.2269064809570613,0.5
9,8.483428982440717,2.1376077735232144,0.5
10,13.894954943731374,2.063598025049268,0.5
11,22.758459260747887,2.0015864819739235,0.5
12,37.27593720314938,1.9491128004378797,0.5
13,61.054022965853264,1.904281262366365,0.5
14,100.0,1.865478634908793,0.5
0,0.1,4.575755821090345,0.7300108075456557
1,0.16378937069540642,3.9618415068780375,0.7300108075456557
2,0.2682695795279726,3.4918701018408007,0.7300108075456557
3,0.43939705607607904,3.132110615389747,0.7300108075456557
4,0.7196856730011519,2.85524110885305,0.7300108075456557
5,1.1787686347935873,2.6401092244863196,0.7300108075456557
6,1.9306977288832496,2.4708825905945324,0.7300108075456557
7,3.1622776601683795,2.335954796166053,0.7300108075456557
8,5.17947467923121,2.2268943186317722,0.7300108075456557
9,8.483428982440717,2.1375726296042075,0.7300108075456557
10,13.894954943731374,2.06348673283479,0.7300108075456557
11,22.758459260747887,2.001206563225289,0.7300108075456557
12,37.27593720314938,1.9477426924527161,0.7300108075456557
13,61.054022965853264,1.899213487050729,0.7300108075456557
14,100.0,1.8473262644700843,0.7300108075456557
0,0.1,4.575748112587912,1.0658315582669209
1,0.16378937069540642,3.9618331005700367,1.0658315582669209
2,0.2682695795279726,3.4918598990764393,1.0658315582669209
3,0.43939705607607904,3.1320966295403325,1.0658315582669209
4,0.7196856730011519,2.8552192621010875,1.0658315582669209
5,1.1787686347935873,2.6400702146779893,1.0658315582669209
6,1.9306977288832496,2.4708031109125796,1.0658315582669209
7,3.1622776601683795,2.335771114634232,1.0658315582669209
8,5.17947467923121,2.226417377913572,1.0658315582669209
9,8.483428982440717,2.13620007918836,1.0658315582669209
10,13.894954943731374,2.0592005942510543,1.0658315582669209
11,22.758459260747887,1.987270499077445,1.0658315582669209
12,37.27593720314938,1.9046968978445402,1.0658315582669209
13,61.054022965853264,1.7901791331783283,1.0658315582669209
14,100.0,1.6406902314653522,1.0658315582669209
0,0.1,4.57544536678729,1.556137113116159
1,0.16378937069540642,3.961502991059995,1.556137113116159
2,0.2682695795279726,3.4914593391119504,1.556137113116159
3,0.43939705607607904,3.1315478036020146,1.556137113116159
4,0.7196856730011519,2.854362819254526,1.556137113116159
5,1.1787686347935873,2.638544469609036,1.556137113116159
6,1.9306977288832496,2.4677125195711005,1.556137113116159
7,3.1622776601683795,2.328740369232858,1.556137113116159
8,5.17947467923121,2.2089645864464442,1.556137113116159
9,8.483428982440717,2.0918958863333397,1.556137113116159
10,13.894954943731374,1.9566776356619542,1.556137113116159
11,22.758459260747887,1.793269965572343,1.556137113116159
12,37.27593720314938,1.613505918527319,1.556137113116159
13,61.054022965853264,1.4463290357406555,1.556137113116159
14,100.0,1.3087096763278019,1.556137113116159
0,0.1,4.563736651374581,2.2719938211953856
1,0.16378937069540642,3.948797602676954,2.2719938211953856
2,0.2682695795279726,3.47617905123422,2.2719938211953856
3,0.43939705607607904,3.110968607068737,2.2719938211953856
4,0.7196856730011519,2.8233512382856203,2.2719938211953856
5,1.1787686347935873,2.5871999981187246,2.2719938211953856
6,1.9306977288832496,2.3783272616080295,2.2719938211953856
7,3.1622776601683795,2.176060202231079,2.2719938211953856
8,5.17947467923121,1.970214591936473,2.2719938211953856
9,8.483428982440717,1.764005520395915,2.2719938211953856
10,13.894954943731374,1.5707273181494732,2.2719938211953856
11,22.758459260747887,1.4091149786972923,2.2719938211953856
12,37.27593720314938,1.2771379824497449,2.2719938211953856
13,61.054022965853264,1.1653788170230128,2.2719938211953856
14,100.0,1.117884667142963,2.2719938211953856
0,0.1,4.261474779106138,3.317160088299168
1,0.16378937069540642,3.6480308237745276,3.317160088299168
2,0.2682695795279726,3.159927110794472,3.317160088299168
3,0.43939705607607904,2.762860620821443,3.317160088299168
4,0.7196856730011519,2.4301427888065845,3.317160088299168
5,1.1787686347935873,2.143454060587265,3.317160088299168
6,1.9306977288832496,1.8919523001534373,3.317160088299168
7,3.1622776601683795,1.6747807401146841,3.317160088299168
8,5.17947467923121,1.4980381874029816,3.317160088299168
9,8.483428982440717,1.3512663384065542,3.317160088299168
10,13.894954943731374,1.2298841356003667,3.317160088299168
11,22.758459260747887,1.1299688731373967,3.317160088299168
12,37.27593720314938,1.1409482540230362,3.317160088299168
13,61.054022965853264,1.187643322416891,3.317160088299168
14,100.0,1.246939377492969,3.317160088299168
0,0.1,2.959478281563569,4.843125429634986
1,0.16378937069540642,2.526777735612613,4.843125429634986
2,0.2682695795279726,2.1805777413559224,4.843125429634986
3,0.43939705607607904,1.9099439547925927,4.843125429634986
4,0.7196856730011519,1.6939480050402451,4.843125429634986
5,1.1787686347935873,1.519529970871605,4.843125429634986
6,1.9306977288832496,1.3764682300375646,4.843125429634986
7,3.1622776601683795,1.2573762471551542,4.843125429634986
8,5.17947467923121,1.1579092516800475,4.843125429634986
9,8.483428982440717,1.1413898260737294,4.843125429634986
10,13.894954943731374,1.17825714391486,4.843125429634986
11,22.758459260747887,1.2197497710944258,4.843125429634986
12,37.27593720314938,1.2624848436555787,4.843125429634986
13,61.054022965853264,1.296591106209196,4.843125429634986
14,100.0,1.3471921839306116,4.843125429634986
0,0.1,1.717252064058421,7.071067811865475
1,0.16378937069540642,1.5463077883767795,7.071067811865475
2,0.2682695795279726,1.4079041013026767,7.071067811865475
3,0.43939705607607904,1.2967786805236476,7.071067811865475
4,0.7196856730011519,1.2005788931327215,7.071067811865475
5,1.1787686347935873,1.1664260426906807,7.071067811865475
6,1.9306977288832496,1.1926793159948523,7.071067811865475
7,3.1622776601683795,1.219269452855291,7.071067811865475
8,5.17947467923121,1.246211143816161,7.071067811865475
9,8.483428982440717,1.2736480639186656,7.071067811865475
10,13.894954943731374,1.2819612717795303,7.071067811865475
11,22.758459260747887,1.2813456186713597,7.071067811865475
12,37.27593720314938,1.2855321998411449,7.071067811865475
13,61.054022965853264,1.314923036962415,7.071067811865475
14,100.0,1.3900427958703745,7.071067811865475
0,0.1,1.363719434472966,10.323911847100018
1,0.16378937069540642,1.3457650034970545,10.323911847100018
2,0.2682695795279726,1.343288933819372,10.323911847100018
3,0.43939705607607904,1.3386579803462622,10.323911847100018
4,0.7196856730011519,1.3414408139777099,10.323911847100018
5,1.1787686347935873,1.339763577339077,10.323911847100018
6,1.9306977288832496,1.3237525760130777,10.323911847100018
7,3.1622776601683795,1.2945563032311416,10.323911847100018
8,5.17947467923121,1.254358025131551,10.323911847100018
9,8.483428982440717,1.207639067468462,10.323911847100018
10,13.894954943731374,1.1659856276079925,10.323911847100018
11,22.758459260747887,1.1332275434349561,10.323911847100018
12,37.27593720314938,1.1134337754343648,10.323911847100018
13,61.054022965853264,1.1192926894966035,10.323911847100018
14,100.0,1.166623539139212,10.323911847100018
0,0.1,1.5391109697991157,15.073134449063293
1,0.16378937069540642,1.4234505229082526,15.073134449063293
2,0.2682695795279726,1.3408380707350476,15.073134449063293
3,0.43939705607607904,1.2748219243971424,15.073134449063293
4,0.7196856730011519,1.218719273524205,15.073134449063293
5,1.1787686347935873,1.1692644491404494,15.073134449063293
6,1.9306977288832496,1.1259034358114157,15.073134449063293
7,3.1622776601683795,1.0883849118334228,15.073134449063293
8,5.17947467923121,1.0951336013802373,15.073134449063293
9,8.483428982440717,1.117678893309285,15.073134449063293
10,13.894954943731374,1.1358865048303117,15.073134449063293
11,22.758459260747887,1.1445790503560944,15.073134449063293
12,37.27593720314938,1.1362895780311275,15.073134449063293
13,61.054022965853264,1.0970902912445715,15.073134449063293
14,100.0,1.0385381211156335,15.073134449063293
0,0.1,1.2695538741976937,22.007102102809874
1,0.16378937069540642,1.234903854140741,22.007102102809874
2,0.2682695795279726,1.2185934974287185,22.007102102809874
3,0.43939705607607904,1.2202858428161283,22.007102102809874
4,0.7196856730011519,1.2254784586278151,22.007102102809874
5,1.1787686347935873,1.2374021861613484,22.007102102809874
6,1.9306977288832496,1.2527274377154611,22.007102102809874
7,3.1622776601683795,1.2635366678060087,22.007102102809874
8,5.17947467923121,1.2678912694925732,22.007102102809874
9,8.483428982440717,1.264466961937605,22.007102102809874
10,13.894954943731374,1.2522317562776324,22.007102102809874
11,22.758459260747887,1.2292466752423596,22.007102102809874
12,37.27593720314938,1.1911453256708882,22.007102102809874
13,61.054022965853264,1.1330241568157409,22.007102102809874
14,100.0,1.0658987749454283,22.007102102809874
0,0.1,1.764225595045503,32.130844755623876
1,0.16378937069540642,1.5550237843916273,32.130844755623876
2,0.2682695795279726,1.4552214796877958,32.130844755623876
3,0.43939705607607904,1.4002201796918483,32.130844755623876
4,0.7196856730011519,1.366309008177342,32.130844755623876
5,1.1787686347935873,1.3431690253749848,32.130844755623876
