,kR,rob_gamma,vmax
0,0.1,0.4723747006154357,0.1
1,0.16378937069540642,0.4727785722137026,0.1
2,0.2682695795279726,0.48190751607735705,0.1
3,0.43939705607607904,0.5005376214062025,0.1
4,0.7196856730011519,0.5303183824730043,0.1
5,1.1787686347935873,0.5738692482870089,0.1
6,1.9306977288832496,0.634658123545054,0.1
7,3.1622776601683795,0.7159953646534335,0.1
8,5.17947467923121,0.8180704517658625,0.1
9,8.483428982440717,0.9334335414676386,0.1
10,13.894954943731374,1.0457286076003354,0.1
11,22.758459260747887,1.136368648395185,0.1
12,37.27593720314938,1.195731682723747,0.1
13,61.054022965853264,1.227845171088829,0.1
14,100.0,1.2430263735730862,0.1
0,0.1,0.4202525612634606,0.16378937069540642
1,0.16378937069540642,0.41346363480605436,0.16378937069540642
2,0.2682695795279726,0.41216777408918726,0.16378937069540642
3,0.43939705607607904,0.4162206232144091,0.16378937069540642
4,0.7196856730011519,0.4258703509758668,0.16378937069540642
5,1.1787686347935873,0.4417781890507831,0.16378937069540642
6,1.9306977288832496,0.4650703974406648,0.16378937069540642
7,3.1622776601683795,0.49736024050754707,0.16378937069540642
8,5.17947467923121,0.5405287539540704,0.16378937069540642
9,8.483428982440717,0.595680166571743,0.16378937069540642
10,13.894954943731374,0.6603408223028993,0.16378937069540642
11,22.758459260747887,0.7249100709281114,0.16378937069540642
12,37.27593720314938,0.7756060117924983,0.16378937069540642
13,61.054022965853264,0.8062833118983619,0.16378937069540642
14,100.0,0.8215483646870332,0.16378937069540642
0,0.1,0.3851701287096388,0.2682695795279726
1,0.16378937069540642,0.3753486667039135,0.2682695795279726
2,0.2682695795279726,0.36939361092828477,0.2682695795279726
3,0.43939705607607904,0.36687067967565573,0.2682695795279726
4,0.7196856730011519,0.3675353017811938,0.2682695795279726
5,1.1787686347935873,0.37128152913845697,0.2682695795279726
6,1.9306977288832496,0.3780811757408752,0.2682695795279726
7,3.1622776601683795,0.3878570348983073,0.2682695795279726
8,5.17947467923121,0.40013972462328157,0.2682695795279726
9,8.483428982440717,0.4131276274738122,0.2682695795279726
10,13.894954943731374,0.42163912263923853,0.2682695795279726
11,22.758459260747887,0.4162823023263916,0.2682695795279726
12,37.27593720314938,0.39434664150950244,0.2682695795279726
13,61.054022965853264,0.3700728295918062,0.2682695795279726
14,100.0,0.3543893244752673,0.2682695795279726
0,0.1,0.36042905774009604,0.43939705607607904
1,0.16378937069540642,0.34948323082307303,0.43939705607607904
2,0.2682695795279726,0.3414462075777662,0.43939705607607904
