,Kl,rob_gamma,vmax
0,0.1,0.023462101702479112,0.1
1,0.16378937069540642,0.015469357799913338,0.1
2,0.2682695795279726,0.043280994512876175,0.1
3,0.43939705607607904,0.255367599442564,0.1
4,0.7196856730011519,0.6205301417544862,0.1
5,1.1787686347935873,0.6719724993596193,0.1
6,1.9306977288832496,0.5236813069144982,0.1
7,3.1622776601683795,0.46232941102338726,0.1
8,5.17947467923121,0.493362940314532,0.1
9,8.483428982440717,0.6575368848197305,0.1
10,13.894954943731374,1.0608541748204523,0.1
11,22.758459260747887,1.4466480384342109,0.1
12,37.27593720314938,1.5238181209043085,0.1
13,61.054022965853264,1.5290530303454346,0.1
14,100.0,1.529427757526099,0.1
0,0.1,0.023550275287891144,0.16378937069540642
1,0.16378937069540642,0.01583213553254462,0.16378937069540642
2,0.2682695795279726,0.04013984904966629,0.16378937069540642
3,0.43939705607607904,0.23847174074675487,0.16378937069540642
4,0.7196856730011519,0.5585764663089532,0.16378937069540642
5,1.1787686347935873,0.593262599022894,0.16378937069540642
6,1.9306977288832496,0.4717005656195956,0.16378937069540642
7,3.1622776601683795,0.4110278891168183,0.16378937069540642
8,5.17947467923121,0.41075001801020317,0.16378937069540642
9,8.483428982440717,0.47732777478268845,0.16378937069540642
10,13.894954943731374,0.6778504937509436,0.16378937069540642
11,22.758459260747887,1.1140782839657584,0.16378937069540642
12,37.27593720314938,1.4670341484297684,0.16378937069540642
13,61.054022965853264,1.5253618073880373,0.16378937069540642
14,100.0,1.5291590046814847,0.16378937069540642
0,0.1,0.023684632090313507,0.2682695795279726
1,0.16378937069540642,0.016383344779330844,0.2682695795279726
2,0.2682695795279726,0.03545796832107742,0.2682695795279726
3,0.43939705607607904,0.21531882195839477,0.2682695795279726
4,0.7196856730011519,0.4902125081042429,0.2682695795279726
5,1.1787686347935873,0.5224897050094962,0.2682695795279726
6,1.9306977288832496,0.4289282019213249,0.2682695795279726
7,3.1622776601683795,0.37450767819222924,0.2682695795279726
8,5.17947467923121,0.3615180204234905,0.2682695795279726
9,8.483428982440717,0.38681183351759646,0.2682695795279726
10,13.894954943731374,0.471507329488662,0.2682695795279726
11,22.758459260747887,0.6947555609131242,0.2682695795279726
