,beta_l,rob_gamma,vmax
0,0.1,1.2324185158063217,0.1
1,0.16378937069540642,1.2050753143802757,0.1
2,0.2682695795279726,1.1526601632856763,0.1
3,0.43939705607607904,1.0687960183412502,0.1
4,0.7196856730011519,0.9599365235641925,0.1
5,1.1787686347935873,0.843590626432326,0.1
6,1.9306977288832496,0.7374910367987842,0.1
7,3.1622776601683795,0.6512542711335103,0.1
8,5.17947467923121,0.5860381667713322,0.1
9,8.483428982440717,0.5388942777416003,0.1
10,13.894954943731374,0.5062492691084746,0.1
11,22.758459260747887,0.48526314861051867,0.1
12,37.27593720314938,0.47407247538849473,0.1
13,61.054022965853264,0.47171156701795147,0.1
14,100.0,0.4780260001431992,0.1
0,0.1,0.8108343203737287,0.16378937069540642
1,0.16378937069540642,0.7842937800661891,0.16378937069540642
2,0.2682695795279726,0.7380773274531036,0.16378937069540642
3,0.43939705607607904,0.6755232429918712,0.16378937069540642
4,0.7196856730011519,0.60975686625377,0.16378937069540642
5,1.1787686347935873,0.5520159024958659,0.16378937069540642
6,1.9306977288832496,0.5061521933289357,0.16378937069540642
7,3.1622776601683795,0.4715529236369381,0.16378937069540642
8,5.17947467923121,0.44637351404919956,0.16378937069540642
9,8.483428982440717,0.4289039380214623,0.16378937069540642
10,13.894954943731374,0.41790560517600733,0.16378937069540642
11,22.758459260747887,0.412616601785705,0.16378937069540642
12,37.27593720314938,0.41269822005791357,0.16378937069540642
13,61.054022965853264,0.41820499252740356,0.16378937069540642
14,100.0,0.42960174011569574,0.16378937069540642
0,0.1,0.36565750589672796,0.2682695795279726
1,0.16378937069540642,0.3884099176051981,0.2682695795279726
2,0.2682695795279726,0.4124508016360961,0.2682695795279726
3,0.43939705607607904,0.4219905425377823,0.2682695795279726
4,0.7196856730011519,0.41574302085905857,0.2682695795279726
5,1.1787686347935873,0.4031432120644992,0.2682695795279726
6,1.9306977288832496,0.3904618776903704,0.2682695795279726
7,3.1622776601683795,0.38004858473632647,0.2682695795279726
8,5.17947467923121,0.3725595458066678,0.2682695795279726
9,8.483428982440717,0.36811788642846155,0.2682695795279726
10,13.894954943731374,0.36674749107999804,0.2682695795279726
11,22.758459260747887,0.3685301823131205,0.2682695795279726
12,37.27593720314938,0.37367469618381066,0.2682695795279726
13,61.054022965853264,0.38256719454970844,0.2682695795279726
