,KA,rob_gamma,beta_A
0,0.1,0.3168814264536726,0.1
1,0.16378937069540642,0.3168814264342015,0.1
2,0.2682695795279726,0.3168814264342836,0.1
3,0.43939705607607904,0.31688142644171746,0.1
4,0.7196856730011519,0.31688142643303313,0.1
5,1.1787686347935873,0.31688142643446826,0.1
6,1.9306977288832496,0.316881426432189,0.1
7,3.1622776601683795,0.31688142627376287,0.1
8,5.17947467923121,0.31688140727534403,0.1
9,8.483428982440717,0.31687913080453356,0.1
10,13.894954943731374,0.3166065473384321,0.1
11,22.758459260747887,0.28661895365504175,0.1
12,37.27593720314938,0.22955496827854957,0.1
13,61.054022965853264,0.30978136931683303,0.1
14,100.0,0.9588168509985375,0.1
0,0.1,0.3084137776810581,0.16378937069540642
1,0.16378937069540642,0.3084137776857305,0.16378937069540642
2,0.2682695795279726,0.3084137776828419,0.16378937069540642
3,0.43939705607607904,0.3084137776810741,0.16378937069540642
4,0.7196856730011519,0.3084137776810505,0.16378937069540642
5,1.1787686347935873,0.30841377768111106,0.16378937069540642
6,1.9306977288832496,0.30841377768046907,0.16378937069540642
7,3.1622776601683795,0.30841377751824517,0.16378937069540642
8,5.17947467923121,0.3084137580236335,0.16378937069540642
9,8.483428982440717,0.3084114221193513,0.16378937069540642
10,13.894954943731374,0.3081317267654053,0.16378937069540642
11,22.758459260747887,0.27741168945543465,0.16378937069540642
12,37.27593720314938,0.25814468244594024,0.16378937069540642
13,61.054022965853264,0.25129597295881606,0.16378937069540642
14,100.0,0.9342778666027908,0.16378937069540642
0,0.1,0.300978194980177,0.2682695795279726
1,0.16378937069540642,0.3009781949799931,0.2682695795279726
2,0.2682695795279726,0.300978194853001,0.2682695795279726
3,0.43939705607607904,0.300978194979877,0.2682695795279726
4,0.7196856730011519,0.3009781949778853,0.2682695795279726
5,1.1787686347935873,0.3009781949793347,0.2682695795279726
6,1.9306977288832496,0.30097819491346295,0.2682695795279726
7,3.1622776601683795,0.30097819480654414,0.2682695795279726
8,5.17947467923121,0.30097817453603753,0.2682695795279726
9,8.483428982440717,0.3009757454118023,0.2682695795279726
10,13.894954943731374,0.30068489518690966,0.2682695795279726
11,22.758459260747887,0.26882717732943495,0.2682695795279726
