,cp,plat,vmax
0,0.0,100.0,0.0
1,1.1111111111111112,23.357214690901213,0.0
2,2.2222222222222223,16.23776739188721,0.0
3,3.3333333333333335,7.847599703514611,0.0
4,4.444444444444445,7.847599703514611,0.0
5,5.555555555555555,5.455594781168517,0.0
6,6.666666666666667,3.79269019073225,0.0
7,7.777777777777779,2.636650898730358,0.0
8,8.88888888888889,1.8329807108324356,0.0
9,10.0,0.8858667904100825,0.0
0,0.0,100.0,0.2222222222222222
1,1.1111111111111112,23.357214690901213,0.2222222222222222
2,2.2222222222222223,11.288378916846883,0.2222222222222222
3,3.3333333333333335,7.847599703514611,0.2222222222222222
4,4.444444444444445,3.79269019073225,0.2222222222222222
5,5.555555555555555,1.8329807108324356,0.2222222222222222
6,6.666666666666667,0.6158482110660264,0.2222222222222222
7,7.777777777777779,0.29763514416313175,0.2222222222222222
8,8.88888888888889,0.14384498882876628,0.2222222222222222
9,10.0,0.1,0.2222222222222222
0,0.0,100.0,0.4444444444444444
1,1.1111111111111112,23.357214690901213,0.4444444444444444
2,2.2222222222222223,11.288378916846883,0.4444444444444444
3,3.3333333333333335,5.455594781168517,0.4444444444444444
4,4.444444444444445,2.636650898730358,0.4444444444444444
5,5.555555555555555,0.8858667904100825,0.4444444444444444
6,6.666666666666667,0.42813323987193935,0.4444444444444444
7,7.777777777777779,0.14384498882876628,0.4444444444444444
8,8.88888888888889,0.1,0.4444444444444444
9,10.0,0.1,0.4444444444444444
0,0.0,100.0,0.6666666666666666
1,1.1111111111111112,23.357214690901213,0.6666666666666666
2,2.2222222222222223,11.288378916846883,0.6666666666666666
3,3.3333333333333335,3.79269019073225,0.6666666666666666
4,4.444444444444445,1.8329807108324356,0.6666666666666666
5,5.555555555555555,0.6158482110660264,0.6666666666666666
6,6.666666666666667,0.29763514416313175,0.6666666666666666
7,7.777777777777779,0.1,0.6666666666666666
8,8.88888888888889,0.1,0.6666666666666666
9,10.0,0.1,0.6666666666666666
0,0.0,100.0,0.8888888888888888
1,1.1111111111111112,23.357214690901213,0.8888888888888888
2,2.2222222222222223,11.288378916846883,0.8888888888888888
3,3.3333333333333335,3.79269019073225,0.8888888888888888
4,4.444444444444445,1.2742749857031335,0.8888888888888888
5,5.555555555555555,0.42813323987193935,0.8888888888888888
6,6.666666666666667,0.20691380811147897,0.8888888888888888
7,7.777777777777779,0.1,0.8888888888888888
8,8.88888888888889,0.1,0.8888888888888888
9,10.0,0.1,0.8888888888888888
0,0.0,100.0,1.1111111111111112
1,1.1111111111111112,23.357214690901213,1.1111111111111112
2,2.2222222222222223,7.847599703514611,1.1111111111111112
3,3.3333333333333335,2.636650898730358,1.1111111111111112
4,4.444444444444445,1.2742749857031335,1.1111111111111112
5,5.555555555555555,0.42813323987193935,1.1111111111111112
6,6.666666666666667,0.14384498882876628,1.1111111111111112
7,7.777777777777779,0.1,1.1111111111111112
8,8.88888888888889,0.1,1.1111111111111112
9,10.0,0.1,1.1111111111111112
0,0.0,100.0,1.3333333333333333
1,1.1111111111111112,23.357214690901213,1.3333333333333333
2,2.2222222222222223,7.847599703514611,1.3333333333333333
3,3.3333333333333335,2.636650898730358,1.3333333333333333
4,4.444444444444445,0.8858667904100825,1.3333333333333333
5,5.555555555555555,0.29763514416313175,1.3333333333333333
6,6.666666666666667,0.14384498882876628,1.3333333333333333
7,7.777777777777779,0.1,1.3333333333333333
8,8.88888888888889,0.1,1.3333333333333333
9,10.0,0.1,1.3333333333333333
0,0.0,100.0,1.5555555555555554
1,1.1111111111111112,23.357214690901213,1.5555555555555554
2,2.2222222222222223,7.847599703514611,1.5555555555555554
3,3.3333333333333335,2.636650898730358,1.5555555555555554
4,4.444444444444445,0.8858667904100825,1.5555555555555554
5,5.555555555555555,0.29763514416313175,1.5555555555555554
6,6.666666666666667,0.1,1.5555555555555554
7,7.777777777777779,0.1,1.5555555555555554
8,8.88888888888889,0.1,1.5555555555555554
9,10.0,0.1,1.5555555555555554
0,0.0,100.0,1.7777777777777777
1,1.1111111111111112,23.357214690901213,1.7777777777777777
2,2.2222222222222223,7.847599703514611,1.7777777777777777
3,3.3333333333333335,1.8329807108324356,1.7777777777777777
4,4.444444444444445,0.6158482110660264,1.7777777777777777
5,5.555555555555555,0.29763514416313175,1.7777777777777777
6,6.666666666666667,0.1,1.7777777777777777
7,7.777777777777779,0.1,1.7777777777777777
8,8.88888888888889,0.1,1.7777777777777777
9,10.0,0.1,1.7777777777777777
0,0.0,100.0,2.0
1,1.1111111111111112,23.357214690901213,2.0
2,2.2222222222222223,7.847599703514611,2.0
3,3.3333333333333335,1.8329807108324356,2.0
4,4.444444444444445,0.6158482110660264,2.0
5,5.555555555555555,0.20691380811147897,2.0
6,6.666666666666667,0.1,2.0
7,7.777777777777779,0.1,2.0
8,8.88888888888889,0.1,2.0
9,10.0,0.1,2.0
