,vmax,rob_gamma,cp
0,0.1,3.940570308705776,0.5
1,0.16378937069540642,1.4273696267709026,0.5
2,0.2682695795279726,2.1514567690492754,0.5
3,0.43939705607607904,2.737408099163341,0.5
4,0.7196856730011519,2.893613449482396,0.5
5,1.1787686347935873,2.9240125299621877,0.5
6,1.9306977288832496,2.929488746943259,0.5
7,3.1622776601683795,2.93046088279428,0.5
8,5.17947467923121,2.9306330024300804,0.5
9,8.483428982440717,2.9306634625009274,0.5
10,13.894954943731374,2.9306688526056854,0.5
11,22.758459260747887,2.930669806392038,0.5
12,37.27593720314938,2.9306699751754146,0.5
13,61.054022965853264,2.9306700050416614,0.5
14,100.0,2.9306700103106733,0.5
0,0.1,2.387388416837882,0.7300108075456557
1,0.16378937069540642,1.5088299452176872,0.7300108075456557
2,0.2682695795279726,2.048252075167719,0.7300108075456557
3,0.43939705607607904,2.293769780836294,0.7300108075456557
4,0.7196856730011519,2.356170443762822,0.7300108075456557
5,1.1787686347935873,2.3681709617597,0.7300108075456557
6,1.9306977288832496,2.370327870358824,0.7300108075456557
7,3.1622776601683795,2.370710607385633,0.7300108075456557
8,5.17947467923121,2.3707783672337537,0.7300108075456557
9,8.483428982440717,2.3707903585703467,0.7300108075456557
10,13.894954943731374,2.370792480502482,0.7300108075456557
11,22.758459260747887,2.3707928559859615,0.7300108075456557
12,37.27593720314938,2.3707929224275057,0.7300108075456557
13,61.054022965853264,2.370792934184735,0.7300108075456557
14,100.0,2.370792936263347,0.7300108075456557
0,0.1,1.5323479863620988,1.0658315582669209
1,0.16378937069540642,1.5590761344748165,1.0658315582669209
2,0.2682695795279726,1.865955352830212,1.0658315582669209
3,0.43939705607607904,2.008339557226172,1.0658315582669209
4,0.7196856730011519,2.0446912447017893,1.0658315582669209
5,1.1787686347935873,2.051680785091598,1.0658315582669209
6,1.9306977288832496,2.0529369443259826,1.0658315582669209
7,3.1622776601683795,2.0531598424564246,1.0658315582669209
8,5.17947467923121,2.053199304275235,1.0658315582669209
9,8.483428982440717,2.053206287758631,1.0658315582669209
10,13.894954943731374,2.053207523523606,1.0658315582669209
11,22.758459260747887,2.0532077417100334,1.0658315582669209
12,37.27593720314938,2.0532077808908125,1.0658315582669209
13,61.054022965853264,2.053207787737463,1.0658315582669209
14,100.0,2.0532077889020375,1.0658315582669209
0,0.1,1.2543421241125843,1.556137113116159
1,0.16378937069540642,1.5542608759418217,1.556137113116159
2,0.2682695795279726,1.7638692271096836,1.556137113116159
3,0.43939705607607904,1.869603893109395,1.556137113116159
4,0.7196856730011519,1.8969943248316508,1.556137113116159
5,1.1787686347935873,1.9022752730482106,1.556137113116159
6,1.9306977288832496,1.903224834977072,1.556137113116159
7,3.1622776601683795,1.9033933440537993,1.556137113116159
8,5.17947467923121,1.903423177320049,1.556137113116159
9,8.483428982440717,1.9034284568700757,1.556137113116159
10,13.894954943731374,1.9034293911154414,1.556137113116159
11,22.758459260747887,1.9034295564331303,1.556137113116159
12,37.27593720314938,1.9034295856865513,1.556137113116159
13,61.054022965853264,1.9034295908630419,1.556137113116159
14,100.0,1.9034295917790205,1.556137113116159
0,0.1,1.3218255065655997,2.2719938211953856
1,0.16378937069540642,1.5466692193581442,2.2719938211953856
2,0.2682695795279726,1.711738820886484,2.2719938211953856
3,0.43939705607607904,1.80232380322632,2.2719938211953856
4,0.7196856730011519,1.8263100262207863,2.2719938211953856
5,1.1787686347935873,1.8309574123975898,2.2719938211953856
6,1.9306977288832496,1.8317938276855277,2.2719938211953856
7,3.1622776601683795,1.8319422823797884,2.2719938211953856
8,5.17947467923121,1.8319685659379925,2.2719938211953856
9,8.483428982440717,1.8319732173258978,2.2719938211953856
10,13.894954943731374,1.8319740404152858,2.2719938211953856
11,22.758459260747887,1.8319741860635932,2.2719938211953856
12,37.27593720314938,1.8319742118364633,2.2719938211953856
13,61.054022965853264,1.8319742163970425,2.2719938211953856
14,100.0,1.8319742172040503,2.2719938211953856
0,0.1,1.4105170236875813,3.317160088299168
1,0.16378937069540642,1.5486889886400672,3.317160088299168
2,0.2682695795279726,1.687115954341509,3.317160088299168
3,0.43939705607607904,1.7717901814011925,3.317160088299168
4,0.7196856730011519,1.7950188930127997,3.317160088299168
5,1.1787686347935873,1.7995577561563227,3.317160088299168
6,1.9306977288832496,1.8003759603733216,3.317160088299168
7,3.1622776601683795,1.8005212249141362,3.317160088299168
8,5.17947467923121,1.800546944986234,3.317160088299168
9,8.483428982440717,1.800551496695704,3.317160088299168
10,13.894954943731374,1.8005523021451009,3.317160088299168
11,22.758459260747887,1.8005524446750918,3.317160088299168
12,37.27593720314938,1.8005524698957047,3.317160088299168
13,61.054022965853264,1.8005524743583117,3.317160088299168
14,100.0,1.8005524751482753,3.317160088299168
0,0.1,1.4880709953969284,4.843125429634986
1,0.16378937069540642,1.556661078367271,4.843125429634986
2,0.2682695795279726,1.6651621039215279,4.843125429634986
3,0.43939705607607904,1.7465990403984635,4.843125429634986
4,0.7196856730011519,1.7705365997406328,4.843125429634986
5,1.1787686347935873,1.7752925359880578,4.843125429634986
6,1.9306977288832496,1.7761526089878132,4.843125429634986
7,3.1622776601683795,1.7763053943689626,4.843125429634986
8,5.17947467923121,1.776332448804888,4.843125429634986
9,8.483428982440717,1.7763372367443602,4.843125429634986
10,13.894954943731374,1.7763380840013838,4.843125429634986
11,22.758459260747887,1.7763382339261704,4.843125429634986
12,37.27593720314938,1.776338260433297,4.843125429634986
13,61.054022965853264,1.776338265150493,4.843125429634986
14,100.0,1.7763382659810587,4.843125429634986
0,0.1,1.5834878606639098,7.071067811865475
1,0.16378937069540642,1.5357011209176614,7.071067811865475
