,param,factor,times,ends,changes,circuit
0,gamma,0.5,186.1861861861862,3.317150182085138,0.04608476981357601,RQS_layered
1,gamma,0.6666666666666666,158.15815815815816,3.2681769028476997,0.030640729379474055,RQS_layered
2,gamma,0.8333333333333333,75.07507507507508,3.2197635656328787,0.015373270284680133,RQS_layered
3,gamma,1.0,0.0,3.1710154486818674,2.3623426247172598e-07,RQS_layered
4,gamma,1.1666666666666665,64.06406406406407,3.1214375565067383,0.01563447280120896,RQS_layered
5,gamma,1.3333333333333333,72.07207207207207,3.070799156323,0.03160361989802077,RQS_layered
6,gamma,1.5,73.07307307307308,3.0190358284875005,0.04792752020739582,RQS_layered
7,gamma,1.6666666666666665,107.10710710710711,2.966194740553602,0.06459129913623668,RQS_layered
8,gamma,1.8333333333333333,110.11011011011011,2.912397956921148,0.08155646288637232,RQS_layered
9,gamma,2.0,108.10810810810811,2.85781659787617,0.09876904756856096,RQS_layered
0,N,0.5,98.0980980980981,2.890425851381263,0.08848550851419563,RQS_layered
1,N,0.6666666666666666,79.07907907907908,3.021758042452811,0.04706905242240837,RQS_layered
2,N,0.8333333333333333,45.04504504504505,3.1082953619208773,0.01977894888566341,RQS_layered
3,N,1.0,0.0,3.1710154486818674,2.3623426247172598e-07,RQS_layered
4,N,1.1666666666666665,0.0,3.219144945356173,0.01517818437833356,RQS_layered
5,N,1.3333333333333333,59.05905905905907,3.257521819546855,0.02728057992880846,RQS_layered
6,N,1.5,62.06206206206207,3.2889838011555357,0.037202319368506535,RQS_layered
7,N,1.6666666666666665,112.11211211211213,3.3153282212174373,0.045510202666996034,RQS_layered
8,N,1.8333333333333333,113.11311311311313,3.337759185259165,0.05258395229190376,RQS_layered
9,N,2.0,113.11311311311313,3.35711907767082,0.05868921961034978,RQS_layered
